formal_name,gsid,year,month,day,day_hour,hourly_avg
Kathmandu Airport,366,2015,1,1,0,94.81
Kathmandu Airport,366,2015,1,1,1,94.06
Kathmandu Airport,366,2015,1,1,2,90.4925
Kathmandu Airport,366,2015,1,1,3,80.3675
Kathmandu Airport,366,2015,1,1,4,77.09
Kathmandu Airport,366,2015,1,1,5,69.0675
Kathmandu Airport,366,2015,1,1,6,84.125
Kathmandu Airport,366,2015,1,1,7,77.785
Kathmandu Airport,366,2015,1,1,8,56.2675
Kathmandu Airport,366,2015,1,1,9,53.83
Kathmandu Airport,366,2015,1,1,10,51.165
Kathmandu Airport,366,2015,1,1,11,54.4725
Kathmandu Airport,366,2015,1,1,12,60.8325
Kathmandu Airport,366,2015,1,1,13,70.7625
Kathmandu Airport,366,2015,1,1,14,78.9275
Kathmandu Airport,366,2015,1,1,15,80.66
Kathmandu Airport,366,2015,1,1,16,81.68
Kathmandu Airport,366,2015,1,1,17,84.8825
Kathmandu Airport,366,2015,1,1,18,84.905
Kathmandu Airport,366,2015,1,1,19,85.7875
Kathmandu Airport,366,2015,1,1,20,85.9275
Kathmandu Airport,366,2015,1,1,21,82.6225
Kathmandu Airport,366,2015,1,1,22,84.6425
Kathmandu Airport,366,2015,1,1,23,87.895
Kathmandu Airport,366,2015,1,2,0,93.4775
Kathmandu Airport,366,2015,1,2,1,95.3575
Kathmandu Airport,366,2015,1,2,2,94.04
Kathmandu Airport,366,2015,1,2,3,94.7025
Kathmandu Airport,366,2015,1,2,4,87.5375
Kathmandu Airport,366,2015,1,2,5,79.29
Kathmandu Airport,366,2015,1,2,6,65.9325
Kathmandu Airport,366,2015,1,2,7,55.4275
Kathmandu Airport,366,2015,1,2,8,43.82
Kathmandu Airport,366,2015,1,2,9,42.215
Kathmandu Airport,366,2015,1,2,10,50.84
Kathmandu Airport,366,2015,1,2,11,74.8775
Kathmandu Airport,366,2015,1,2,12,82.9525
Kathmandu Airport,366,2015,1,2,13,86.355
Kathmandu Airport,366,2015,1,2,14,90.54
Kathmandu Airport,366,2015,1,2,15,91.6425
Kathmandu Airport,366,2015,1,2,16,94.19
Kathmandu Airport,366,2015,1,2,17,94.6925
Kathmandu Airport,366,2015,1,2,18,96.17
Kathmandu Airport,366,2015,1,2,19,96.455
Kathmandu Airport,366,2015,1,2,20,97.1175
Kathmandu Airport,366,2015,1,2,21,97.0775
Kathmandu Airport,366,2015,1,2,22,96.7125
Kathmandu Airport,366,2015,1,2,23,96.985
Kathmandu Airport,366,2015,1,3,0,96.89
Kathmandu Airport,366,2015,1,3,1,97.17
Kathmandu Airport,366,2015,1,3,2,94.965
Kathmandu Airport,366,2015,1,3,3,88.3625
Kathmandu Airport,366,2015,1,3,4,76.9
Kathmandu Airport,366,2015,1,3,5,72.7025
Kathmandu Airport,366,2015,1,3,6,71.2975
Kathmandu Airport,366,2015,1,3,7,69.5525
Kathmandu Airport,366,2015,1,3,8,75.015
Kathmandu Airport,366,2015,1,3,9,71.5675
Kathmandu Airport,366,2015,1,3,10,73.3725
Kathmandu Airport,366,2015,1,3,11,91.345
Kathmandu Airport,366,2015,1,3,12,95.1775
Kathmandu Airport,366,2015,1,3,13,94.71
Kathmandu Airport,366,2015,1,3,14,94.6125
Kathmandu Airport,366,2015,1,3,15,95.355
Kathmandu Airport,366,2015,1,3,16,96.485
Kathmandu Airport,366,2015,1,3,17,97.7075
Kathmandu Airport,366,2015,1,3,18,98.4425
Kathmandu Airport,366,2015,1,3,19,98.81
Kathmandu Airport,366,2015,1,3,20,99.1
Kathmandu Airport,366,2015,1,3,21,99.475
Kathmandu Airport,366,2015,1,3,22,99.9025
Kathmandu Airport,366,2015,1,3,23,100
Kathmandu Airport,366,2015,1,4,0,100
Kathmandu Airport,366,2015,1,4,1,100
Kathmandu Airport,366,2015,1,4,2,100
Kathmandu Airport,366,2015,1,4,3,100
Kathmandu Airport,366,2015,1,4,4,91.9025
Kathmandu Airport,366,2015,1,4,5,82.8725
Kathmandu Airport,366,2015,1,4,6,70.8575
Kathmandu Airport,366,2015,1,4,7,53.915
Kathmandu Airport,366,2015,1,4,8,42.595
Kathmandu Airport,366,2015,1,4,9,54.4425
Kathmandu Airport,366,2015,1,4,10,60.0975
Kathmandu Airport,366,2015,1,4,11,75.7375
Kathmandu Airport,366,2015,1,4,12,87.55
Kathmandu Airport,366,2015,1,4,13,89.085
Kathmandu Airport,366,2015,1,4,14,89.485
Kathmandu Airport,366,2015,1,4,15,89.85
Kathmandu Airport,366,2015,1,4,16,91.545
Kathmandu Airport,366,2015,1,4,17,93.3475
Kathmandu Airport,366,2015,1,4,18,94.8225
Kathmandu Airport,366,2015,1,4,19,95.61
Kathmandu Airport,366,2015,1,4,20,96.8275
Kathmandu Airport,366,2015,1,4,21,98.015
Kathmandu Airport,366,2015,1,4,22,98.285
Kathmandu Airport,366,2015,1,4,23,98.56
Kathmandu Airport,366,2015,1,5,0,99.06
Kathmandu Airport,366,2015,1,5,1,99.4625
Kathmandu Airport,366,2015,1,5,2,99.605
Kathmandu Airport,366,2015,1,5,3,90.4025
Kathmandu Airport,366,2015,1,5,4,70.7175
Kathmandu Airport,366,2015,1,5,5,59.47
Kathmandu Airport,366,2015,1,5,6,46.0825
Kathmandu Airport,366,2015,1,5,7,38.9475
Kathmandu Airport,366,2015,1,5,8,46.4925
Kathmandu Airport,366,2015,1,5,9,54.73
Kathmandu Airport,366,2015,1,5,10,62.9975
Kathmandu Airport,366,2015,1,5,11,75.1275
Kathmandu Airport,366,2015,1,5,12,83.4425
Kathmandu Airport,366,2015,1,5,13,84.63
Kathmandu Airport,366,2015,1,5,14,85.12
Kathmandu Airport,366,2015,1,5,15,90.0275
Kathmandu Airport,366,2015,1,5,16,93.1725
Kathmandu Airport,366,2015,1,5,17,93.2775
Kathmandu Airport,366,2015,1,5,18,93.95
Kathmandu Airport,366,2015,1,5,19,95.3875
Kathmandu Airport,366,2015,1,5,20,96.8575
Kathmandu Airport,366,2015,1,5,21,97.1075
Kathmandu Airport,366,2015,1,5,22,94.9025
Kathmandu Airport,366,2015,1,5,23,93.94
Kathmandu Airport,366,2015,1,6,0,91.4525
Kathmandu Airport,366,2015,1,6,1,89.9575
Kathmandu Airport,366,2015,1,6,2,83.39
Kathmandu Airport,366,2015,1,6,3,79.7025
Kathmandu Airport,366,2015,1,6,4,68.12
Kathmandu Airport,366,2015,1,6,5,57.9025
Kathmandu Airport,366,2015,1,6,6,53.0425
Kathmandu Airport,366,2015,1,6,7,51.435
Kathmandu Airport,366,2015,1,6,8,50.995
Kathmandu Airport,366,2015,1,6,9,53.75
Kathmandu Airport,366,2015,1,6,10,63.1975
Kathmandu Airport,366,2015,1,6,11,71.545
Kathmandu Airport,366,2015,1,6,12,75.2225
Kathmandu Airport,366,2015,1,6,13,76.0875
Kathmandu Airport,366,2015,1,6,14,79.4275
Kathmandu Airport,366,2015,1,6,15,84.18
Kathmandu Airport,366,2015,1,6,16,87.3525
Kathmandu Airport,366,2015,1,6,17,88.7275
Kathmandu Airport,366,2015,1,6,18,91.4175
Kathmandu Airport,366,2015,1,6,19,94.345
Kathmandu Airport,366,2015,1,6,20,94.1375
Kathmandu Airport,366,2015,1,6,21,91.28
Kathmandu Airport,366,2015,1,6,22,91.0475
Kathmandu Airport,366,2015,1,6,23,90.8425
Kathmandu Airport,366,2015,1,7,0,90.54
Kathmandu Airport,366,2015,1,7,1,88.8025
Kathmandu Airport,366,2015,1,7,2,86.995
Kathmandu Airport,366,2015,1,7,3,84.48
Kathmandu Airport,366,2015,1,7,4,78.0225
Kathmandu Airport,366,2015,1,7,5,63.9975
Kathmandu Airport,366,2015,1,7,6,54.5625
Kathmandu Airport,366,2015,1,7,7,51.1825
Kathmandu Airport,366,2015,1,7,8,49.7425
Kathmandu Airport,366,2015,1,7,9,53.2975
Kathmandu Airport,366,2015,1,7,10,58.4475
Kathmandu Airport,366,2015,1,7,11,69.3425
Kathmandu Airport,366,2015,1,7,12,76.63
Kathmandu Airport,366,2015,1,7,13,68.2325
Kathmandu Airport,366,2015,1,7,14,75.29
Kathmandu Airport,366,2015,1,7,15,88.375
Kathmandu Airport,366,2015,1,7,16,92.1175
Kathmandu Airport,366,2015,1,7,17,92.5925
Kathmandu Airport,366,2015,1,7,18,93.7725
Kathmandu Airport,366,2015,1,7,19,93.1925
Kathmandu Airport,366,2015,1,7,20,93.52
Kathmandu Airport,366,2015,1,7,21,96.5925
Kathmandu Airport,366,2015,1,7,22,96.93
Kathmandu Airport,366,2015,1,7,23,97.74
Kathmandu Airport,366,2015,1,8,0,97.965
Kathmandu Airport,366,2015,1,8,1,98.4225
Kathmandu Airport,366,2015,1,8,2,98.235
Kathmandu Airport,366,2015,1,8,3,85.935
Kathmandu Airport,366,2015,1,8,4,68.92
Kathmandu Airport,366,2015,1,8,5,60.205
Kathmandu Airport,366,2015,1,8,6,56.62
Kathmandu Airport,366,2015,1,8,7,55.635
Kathmandu Airport,366,2015,1,8,8,54.15
Kathmandu Airport,366,2015,1,8,9,49.155
Kathmandu Airport,366,2015,1,8,10,49.8675
Kathmandu Airport,366,2015,1,8,11,63.31
Kathmandu Airport,366,2015,1,8,12,68.93
Kathmandu Airport,366,2015,1,8,13,69.4025
Kathmandu Airport,366,2015,1,8,14,73.3225
Kathmandu Airport,366,2015,1,8,15,78.0325
Kathmandu Airport,366,2015,1,8,16,87.435
Kathmandu Airport,366,2015,1,8,17,91.94
Kathmandu Airport,366,2015,1,8,18,94.095
Kathmandu Airport,366,2015,1,8,19,92.3575
Kathmandu Airport,366,2015,1,8,20,93.91
Kathmandu Airport,366,2015,1,8,21,96.3725
Kathmandu Airport,366,2015,1,8,22,97.07
Kathmandu Airport,366,2015,1,8,23,97.9775
Kathmandu Airport,366,2015,1,9,0,98.85
Kathmandu Airport,366,2015,1,9,1,99
Kathmandu Airport,366,2015,1,9,2,98.8475
Kathmandu Airport,366,2015,1,9,3,88.38
Kathmandu Airport,366,2015,1,9,4,69.93
Kathmandu Airport,366,2015,1,9,5,56.26
Kathmandu Airport,366,2015,1,9,6,42.905
Kathmandu Airport,366,2015,1,9,7,32.3775
Kathmandu Airport,366,2015,1,9,8,31.7725
Kathmandu Airport,366,2015,1,9,9,36.795
Kathmandu Airport,366,2015,1,9,10,40
Kathmandu Airport,366,2015,1,9,11,50.72
Kathmandu Airport,366,2015,1,9,12,56.7
Kathmandu Airport,366,2015,1,9,13,58.79
Kathmandu Airport,366,2015,1,9,14,65.78
Kathmandu Airport,366,2015,1,9,15,59.675
Kathmandu Airport,366,2015,1,13,4,56.46
Kathmandu Airport,366,2015,1,13,5,51.965
Kathmandu Airport,366,2015,1,13,6,40.26
Kathmandu Airport,366,2015,1,13,7,33.0675
Kathmandu Airport,366,2015,1,13,8,31.75
Kathmandu Airport,366,2015,1,13,9,35.58
Kathmandu Airport,366,2015,1,13,10,43.0375
Kathmandu Airport,366,2015,1,13,11,60.5
Kathmandu Airport,366,2015,1,13,12,70.9575
Kathmandu Airport,366,2015,1,13,13,76.3325
Kathmandu Airport,366,2015,1,13,14,75.535
Kathmandu Airport,366,2015,1,13,15,81.4375
Kathmandu Airport,366,2015,1,13,16,78.315
Kathmandu Airport,366,2015,1,13,17,85.3825
Kathmandu Airport,366,2015,1,13,18,90.39
Kathmandu Airport,366,2015,1,13,19,92.565
Kathmandu Airport,366,2015,1,13,20,92.7425
Kathmandu Airport,366,2015,1,13,21,95.0925
Kathmandu Airport,366,2015,1,13,22,96.805
Kathmandu Airport,366,2015,1,13,23,97.5625
Kathmandu Airport,366,2015,1,14,0,97.6825
Kathmandu Airport,366,2015,1,14,1,98.0525
Kathmandu Airport,366,2015,1,14,2,97.8275
Kathmandu Airport,366,2015,1,14,3,86.8825
Kathmandu Airport,366,2015,1,14,4,65.3625
Kathmandu Airport,366,2015,1,14,5,48.355
Kathmandu Airport,366,2015,1,14,6,35.8975
Kathmandu Airport,366,2015,1,14,7,29.6725
Kathmandu Airport,366,2015,1,14,8,27.9525
Kathmandu Airport,366,2015,1,14,9,35.48
Kathmandu Airport,366,2015,1,14,10,40.9625
Kathmandu Airport,366,2015,1,14,11,50.3175
Kathmandu Airport,366,2015,1,14,12,59.8825
Kathmandu Airport,366,2015,1,14,13,63.9925
Kathmandu Airport,366,2015,1,14,14,69.28
Kathmandu Airport,366,2015,1,14,15,74.4625
Kathmandu Airport,366,2015,1,14,16,81.105
Kathmandu Airport,366,2015,1,14,17,85.5675
Kathmandu Airport,366,2015,1,14,18,86.11
Kathmandu Airport,366,2015,1,14,19,88.4825
Kathmandu Airport,366,2015,1,14,20,92.075
Kathmandu Airport,366,2015,1,14,21,92.5825
Kathmandu Airport,366,2015,1,14,22,93.9375
Kathmandu Airport,366,2015,1,14,23,95.36
Kathmandu Airport,366,2015,1,15,0,97
Kathmandu Airport,366,2015,1,15,1,97.1075
Kathmandu Airport,366,2015,1,15,2,95.19
Kathmandu Airport,366,2015,1,15,3,84.1375
Kathmandu Airport,366,2015,1,15,4,62.3875
Kathmandu Airport,366,2015,1,15,5,50.46
Kathmandu Airport,366,2015,1,15,6,36.4175
Kathmandu Airport,366,2015,1,15,7,33.7475
Kathmandu Airport,366,2015,1,15,8,35.42
Kathmandu Airport,366,2015,1,15,9,34.0825
Kathmandu Airport,366,2015,1,15,10,43.9725
Kathmandu Airport,366,2015,1,15,11,54.21
Kathmandu Airport,366,2015,1,15,12,64.7125
Kathmandu Airport,366,2015,1,15,13,69.595
Kathmandu Airport,366,2015,1,15,14,73.36
Kathmandu Airport,366,2015,1,15,15,76.605
Kathmandu Airport,366,2015,1,15,16,83.18
Kathmandu Airport,366,2015,1,15,17,84.6025
Kathmandu Airport,366,2015,1,15,18,87.9625
Kathmandu Airport,366,2015,1,15,19,90.48
Kathmandu Airport,366,2015,1,15,20,93.3775
Kathmandu Airport,366,2015,1,15,21,95.1
Kathmandu Airport,366,2015,1,15,22,95.47
Kathmandu Airport,366,2015,1,15,23,97.055
Kathmandu Airport,366,2015,1,16,0,97.345
Kathmandu Airport,366,2015,1,16,1,97.6775
Kathmandu Airport,366,2015,1,16,2,96.8725
Kathmandu Airport,366,2015,1,16,3,85.0375
Kathmandu Airport,366,2015,1,16,4,64.8
Kathmandu Airport,366,2015,1,16,5,54.3725
Kathmandu Airport,366,2015,1,16,6,43.68
Kathmandu Airport,366,2015,1,16,7,41.7875
Kathmandu Airport,366,2015,1,16,8,41.235
Kathmandu Airport,366,2015,1,16,9,42.7525
Kathmandu Airport,366,2015,1,16,10,48.45
Kathmandu Airport,366,2015,1,16,11,57.9
Kathmandu Airport,366,2015,1,16,12,66.785
Kathmandu Airport,366,2015,1,16,13,67.1825
Kathmandu Airport,366,2015,1,16,14,73.675
Kathmandu Airport,366,2015,1,16,15,79.5575
Kathmandu Airport,366,2015,1,16,16,79.495
Kathmandu Airport,366,2015,1,16,17,81.7925
Kathmandu Airport,366,2015,1,16,18,87.5675
Kathmandu Airport,366,2015,1,16,19,91.395
Kathmandu Airport,366,2015,1,16,20,90.8425
Kathmandu Airport,366,2015,1,16,21,93.335
Kathmandu Airport,366,2015,1,16,22,94.605
Kathmandu Airport,366,2015,1,16,23,95.7275
Kathmandu Airport,366,2015,1,17,0,96.37
Kathmandu Airport,366,2015,1,17,1,97.74
Kathmandu Airport,366,2015,1,17,2,95.7125
Kathmandu Airport,366,2015,1,17,3,84.8775
Kathmandu Airport,366,2015,1,17,4,68.2025
Kathmandu Airport,366,2015,1,17,5,56.365
Kathmandu Airport,366,2015,1,17,6,44.635
Kathmandu Airport,366,2015,1,17,7,32.8975
Kathmandu Airport,366,2015,1,17,8,35.595
Kathmandu Airport,366,2015,1,17,9,43.71
Kathmandu Airport,366,2015,1,17,10,50.905
Kathmandu Airport,366,2015,1,17,11,61.1875
Kathmandu Airport,366,2015,1,17,12,68.8775
Kathmandu Airport,366,2015,1,17,13,72.7075
Kathmandu Airport,366,2015,1,17,14,76.5225
Kathmandu Airport,366,2015,1,17,15,78.4375
Kathmandu Airport,366,2015,1,17,16,84.855
Kathmandu Airport,366,2015,1,17,17,87.13
Kathmandu Airport,366,2015,1,17,18,89.51
Kathmandu Airport,366,2015,1,17,19,91.32
Kathmandu Airport,366,2015,1,17,20,92.58
Kathmandu Airport,366,2015,1,17,21,94.03
Kathmandu Airport,366,2015,1,17,22,96.45
Kathmandu Airport,366,2015,1,17,23,97.29
Kathmandu Airport,366,2015,1,18,0,97.9725
