formal_name,gsid,year,month,day,day_hour,hourly_avg
Kathmandu Airport,366,2015,1,1,0,4.2525
Kathmandu Airport,366,2015,1,1,1,4.835
Kathmandu Airport,366,2015,1,1,2,5.905
Kathmandu Airport,366,2015,1,1,3,8.6725
Kathmandu Airport,366,2015,1,1,4,9.7925
Kathmandu Airport,366,2015,1,1,5,10.7025
Kathmandu Airport,366,2015,1,1,6,10.275
Kathmandu Airport,366,2015,1,1,7,11.54
Kathmandu Airport,366,2015,1,1,8,14.4175
Kathmandu Airport,366,2015,1,1,9,15.5475
Kathmandu Airport,366,2015,1,1,10,15.675
Kathmandu Airport,366,2015,1,1,11,14.07
Kathmandu Airport,366,2015,1,1,12,13.2125
Kathmandu Airport,366,2015,1,1,13,12.9225
Kathmandu Airport,366,2015,1,1,14,11.88
Kathmandu Airport,366,2015,1,1,15,11.5425
Kathmandu Airport,366,2015,1,1,16,11.1125
Kathmandu Airport,366,2015,1,1,17,10.66
Kathmandu Airport,366,2015,1,1,18,10.7475
Kathmandu Airport,366,2015,1,1,19,10.6975
Kathmandu Airport,366,2015,1,1,20,10.54
Kathmandu Airport,366,2015,1,1,21,10.5425
Kathmandu Airport,366,2015,1,1,22,10.355
Kathmandu Airport,366,2015,1,1,23,10.01
Kathmandu Airport,366,2015,1,2,0,9.515
Kathmandu Airport,366,2015,1,2,1,9.5025
Kathmandu Airport,366,2015,1,2,2,9.5625
Kathmandu Airport,366,2015,1,2,3,9.8975
Kathmandu Airport,366,2015,1,2,4,11.32
Kathmandu Airport,366,2015,1,2,5,12.6775
Kathmandu Airport,366,2015,1,2,6,14.725
Kathmandu Airport,366,2015,1,2,7,17.67
Kathmandu Airport,366,2015,1,2,8,17.8775
Kathmandu Airport,366,2015,1,2,9,17.485
Kathmandu Airport,366,2015,1,2,10,16.815
Kathmandu Airport,366,2015,1,2,11,14.155
Kathmandu Airport,366,2015,1,2,12,12.5025
Kathmandu Airport,366,2015,1,2,13,12.0825
Kathmandu Airport,366,2015,1,2,14,11.0975
Kathmandu Airport,366,2015,1,2,15,10.7725
Kathmandu Airport,366,2015,1,2,16,10.3175
Kathmandu Airport,366,2015,1,2,17,9.9675
Kathmandu Airport,366,2015,1,2,18,9.6775
Kathmandu Airport,366,2015,1,2,19,9.645
Kathmandu Airport,366,2015,1,2,20,9.3875
Kathmandu Airport,366,2015,1,2,21,9.2575
Kathmandu Airport,366,2015,1,2,22,9.16
Kathmandu Airport,366,2015,1,2,23,9.075
Kathmandu Airport,366,2015,1,3,0,8.975
Kathmandu Airport,366,2015,1,3,1,9.1375
Kathmandu Airport,366,2015,1,3,2,10.305
Kathmandu Airport,366,2015,1,3,3,12.085
Kathmandu Airport,366,2015,1,3,4,14.4625
Kathmandu Airport,366,2015,1,3,5,15.3325
Kathmandu Airport,366,2015,1,3,6,15.8525
Kathmandu Airport,366,2015,1,3,7,16.38
Kathmandu Airport,366,2015,1,3,8,16.465
Kathmandu Airport,366,2015,1,3,9,16.6525
Kathmandu Airport,366,2015,1,3,10,16.105
Kathmandu Airport,366,2015,1,3,11,13.4425
Kathmandu Airport,366,2015,1,3,12,12.0025
Kathmandu Airport,366,2015,1,3,13,11.7175
Kathmandu Airport,366,2015,1,3,14,11.6575
Kathmandu Airport,366,2015,1,3,15,11.64
Kathmandu Airport,366,2015,1,3,16,11.42
Kathmandu Airport,366,2015,1,3,17,11.01
Kathmandu Airport,366,2015,1,3,18,10.9225
Kathmandu Airport,366,2015,1,3,19,10.95
Kathmandu Airport,366,2015,1,3,20,10.795
Kathmandu Airport,366,2015,1,3,21,10.325
Kathmandu Airport,366,2015,1,3,22,10.3475
Kathmandu Airport,366,2015,1,3,23,10.2775
Kathmandu Airport,366,2015,1,4,0,10.3125
Kathmandu Airport,366,2015,1,4,1,10.42
Kathmandu Airport,366,2015,1,4,2,10.6475
Kathmandu Airport,366,2015,1,4,3,10.875
Kathmandu Airport,366,2015,1,4,4,12.125
Kathmandu Airport,366,2015,1,4,5,13.6075
Kathmandu Airport,366,2015,1,4,6,15.3775
Kathmandu Airport,366,2015,1,4,7,17.8275
Kathmandu Airport,366,2015,1,4,8,20.18
Kathmandu Airport,366,2015,1,4,9,17.495
Kathmandu Airport,366,2015,1,4,10,15.7625
Kathmandu Airport,366,2015,1,4,11,13.945
Kathmandu Airport,366,2015,1,4,12,12.34
Kathmandu Airport,366,2015,1,4,13,11.6475
Kathmandu Airport,366,2015,1,4,14,11.1875
Kathmandu Airport,366,2015,1,4,15,10.8825
Kathmandu Airport,366,2015,1,4,16,10.1475
Kathmandu Airport,366,2015,1,4,17,9.2675
Kathmandu Airport,366,2015,1,4,18,8.6475
Kathmandu Airport,366,2015,1,4,19,8.4075
Kathmandu Airport,366,2015,1,4,20,7.72
Kathmandu Airport,366,2015,1,4,21,7.225
Kathmandu Airport,366,2015,1,4,22,7.11
Kathmandu Airport,366,2015,1,4,23,7.0475
Kathmandu Airport,366,2015,1,5,0,6.485
Kathmandu Airport,366,2015,1,5,1,6.1975
Kathmandu Airport,366,2015,1,5,2,6.6275
Kathmandu Airport,366,2015,1,5,3,9.24
Kathmandu Airport,366,2015,1,5,4,13.475
Kathmandu Airport,366,2015,1,5,5,15.555
Kathmandu Airport,366,2015,1,5,6,16.78
Kathmandu Airport,366,2015,1,5,7,18.5725
Kathmandu Airport,366,2015,1,5,8,18.4275
Kathmandu Airport,366,2015,1,5,9,17.46
Kathmandu Airport,366,2015,1,5,10,15.6325
Kathmandu Airport,366,2015,1,5,11,12.69
Kathmandu Airport,366,2015,1,5,12,10.52
Kathmandu Airport,366,2015,1,5,13,10.5125
Kathmandu Airport,366,2015,1,5,14,10.61
Kathmandu Airport,366,2015,1,5,15,9.775
Kathmandu Airport,366,2015,1,5,16,9.0475
Kathmandu Airport,366,2015,1,5,17,9.0475
Kathmandu Airport,366,2015,1,5,18,8.93
Kathmandu Airport,366,2015,1,5,19,8.485
Kathmandu Airport,366,2015,1,5,20,7.7425
Kathmandu Airport,366,2015,1,5,21,8.165
Kathmandu Airport,366,2015,1,5,22,8.6275
Kathmandu Airport,366,2015,1,5,23,8.67
Kathmandu Airport,366,2015,1,6,0,9
Kathmandu Airport,366,2015,1,6,1,9.0975
Kathmandu Airport,366,2015,1,6,2,9.945
Kathmandu Airport,366,2015,1,6,3,11.135
Kathmandu Airport,366,2015,1,6,4,12.905
Kathmandu Airport,366,2015,1,6,5,15.39
