formal_name,gsid,year,month,day,day_hour,hourly_avg
Kathmandu Airport,366,2015,1,1,0,121.25
Kathmandu Airport,366,2015,1,1,1,86
Kathmandu Airport,366,2015,1,1,2,217.75
Kathmandu Airport,366,2015,1,1,3,123.75
Kathmandu Airport,366,2015,1,1,4,100.25
Kathmandu Airport,366,2015,1,1,5,252
Kathmandu Airport,366,2015,1,1,6,148.5
Kathmandu Airport,366,2015,1,1,7,233.5
Kathmandu Airport,366,2015,1,1,8,215.75
Kathmandu Airport,366,2015,1,1,9,183.5
Kathmandu Airport,366,2015,1,1,10,66.25
Kathmandu Airport,366,2015,1,1,11,145.25
Kathmandu Airport,366,2015,1,1,12,241.75
Kathmandu Airport,366,2015,1,1,13,234
Kathmandu Airport,366,2015,1,1,14,84.75
Kathmandu Airport,366,2015,1,1,15,195.25
Kathmandu Airport,366,2015,1,1,16,113
Kathmandu Airport,366,2015,1,1,17,192.5
Kathmandu Airport,366,2015,1,1,18,193.5
Kathmandu Airport,366,2015,1,1,19,114.25
Kathmandu Airport,366,2015,1,1,20,97.25
Kathmandu Airport,366,2015,1,1,21,196.5
Kathmandu Airport,366,2015,1,1,22,128
Kathmandu Airport,366,2015,1,1,23,119.25
Kathmandu Airport,366,2015,1,2,0,182.75
Kathmandu Airport,366,2015,1,2,1,273.25
Kathmandu Airport,366,2015,1,2,2,101.5
Kathmandu Airport,366,2015,1,2,3,184.25
Kathmandu Airport,366,2015,1,2,4,221
Kathmandu Airport,366,2015,1,2,5,184.25
Kathmandu Airport,366,2015,1,2,6,175
Kathmandu Airport,366,2015,1,2,7,205.75
Kathmandu Airport,366,2015,1,2,8,70.75
Kathmandu Airport,366,2015,1,2,9,52.75
Kathmandu Airport,366,2015,1,2,10,179
Kathmandu Airport,366,2015,1,2,11,228.5
Kathmandu Airport,366,2015,1,2,12,230.5
Kathmandu Airport,366,2015,1,2,13,278
Kathmandu Airport,366,2015,1,2,14,147
Kathmandu Airport,366,2015,1,2,15,161
Kathmandu Airport,366,2015,1,2,16,112.75
Kathmandu Airport,366,2015,1,2,17,143
Kathmandu Airport,366,2015,1,2,18,242.5
Kathmandu Airport,366,2015,1,2,19,50.75
Kathmandu Airport,366,2015,1,2,20,248
Kathmandu Airport,366,2015,1,2,21,157.5
Kathmandu Airport,366,2015,1,2,22,165
Kathmandu Airport,366,2015,1,2,23,98.25
Kathmandu Airport,366,2015,1,3,0,187
Kathmandu Airport,366,2015,1,3,1,100.75
Kathmandu Airport,366,2015,1,3,2,264.25
Kathmandu Airport,366,2015,1,3,3,160.75
Kathmandu Airport,366,2015,1,3,4,270
Kathmandu Airport,366,2015,1,3,5,255
Kathmandu Airport,366,2015,1,3,6,230
Kathmandu Airport,366,2015,1,3,7,159.25
Kathmandu Airport,366,2015,1,3,8,244.5
Kathmandu Airport,366,2015,1,3,9,203
Kathmandu Airport,366,2015,1,3,10,158.5
Kathmandu Airport,366,2015,1,3,11,206.5
Kathmandu Airport,366,2015,1,3,12,225
Kathmandu Airport,366,2015,1,3,13,167.5
Kathmandu Airport,366,2015,1,3,14,279
Kathmandu Airport,366,2015,1,3,15,161
Kathmandu Airport,366,2015,1,3,16,71.5
Kathmandu Airport,366,2015,1,3,17,131.75
Kathmandu Airport,366,2015,1,3,18,154.25
Kathmandu Airport,366,2015,1,3,19,233
Kathmandu Airport,366,2015,1,3,20,63.25
Kathmandu Airport,366,2015,1,3,21,77.75
Kathmandu Airport,366,2015,1,3,22,234.5
Kathmandu Airport,366,2015,1,3,23,154
Kathmandu Airport,366,2015,1,4,0,230.25
Kathmandu Airport,366,2015,1,4,1,131
Kathmandu Airport,366,2015,1,4,2,277.75
Kathmandu Airport,366,2015,1,4,3,163.75
Kathmandu Airport,366,2015,1,4,4,272.25
Kathmandu Airport,366,2015,1,4,5,202.75
Kathmandu Airport,366,2015,1,4,6,210
Kathmandu Airport,366,2015,1,4,7,118.75
Kathmandu Airport,366,2015,1,4,8,176.25
Kathmandu Airport,366,2015,1,4,9,236.75
Kathmandu Airport,366,2015,1,4,10,162.5
Kathmandu Airport,366,2015,1,4,11,176
Kathmandu Airport,366,2015,1,4,12,247.75
Kathmandu Airport,366,2015,1,4,13,173.75
Kathmandu Airport,366,2015,1,4,14,148.25
Kathmandu Airport,366,2015,1,4,15,217.25
Kathmandu Airport,366,2015,1,4,16,65.5
Kathmandu Airport,366,2015,1,4,17,175.5
Kathmandu Airport,366,2015,1,4,18,198.75
Kathmandu Airport,366,2015,1,4,19,45.25
Kathmandu Airport,366,2015,1,4,20,20.5
Kathmandu Airport,366,2015,1,4,21,193.5
