formal_name,gsid,year,month,day,day_hour,hourly_avg
Kathmandu Airport,366,2015,1,1,0,0.625
Kathmandu Airport,366,2015,1,1,1,0.5475
Kathmandu Airport,366,2015,1,1,2,0.4975
Kathmandu Airport,366,2015,1,1,3,0.8225
Kathmandu Airport,366,2015,1,1,4,0.6025
Kathmandu Airport,366,2015,1,1,5,0.8975
Kathmandu Airport,366,2015,1,1,6,0.605
Kathmandu Airport,366,2015,1,1,7,0.84
Kathmandu Airport,366,2015,1,1,8,0.65
Kathmandu Airport,366,2015,1,1,9,0.5225
Kathmandu Airport,366,2015,1,1,10,0.5175
Kathmandu Airport,366,2015,1,1,11,0.5525
Kathmandu Airport,366,2015,1,1,12,0.4525
Kathmandu Airport,366,2015,1,1,13,0.31
Kathmandu Airport,366,2015,1,1,14,0.6325
Kathmandu Airport,366,2015,1,1,15,0.52
Kathmandu Airport,366,2015,1,1,16,0.725
Kathmandu Airport,366,2015,1,1,17,0.585
Kathmandu Airport,366,2015,1,1,18,0.825
Kathmandu Airport,366,2015,1,1,19,0.63
Kathmandu Airport,366,2015,1,1,20,0.5375
Kathmandu Airport,366,2015,1,1,21,0.6225
Kathmandu Airport,366,2015,1,1,22,0.51
Kathmandu Airport,366,2015,1,1,23,0.5625
Kathmandu Airport,366,2015,1,2,0,0.34
Kathmandu Airport,366,2015,1,2,1,0.99
Kathmandu Airport,366,2015,1,2,2,0.5525
Kathmandu Airport,366,2015,1,2,3,0.7825
Kathmandu Airport,366,2015,1,2,4,0.66
Kathmandu Airport,366,2015,1,2,5,0.7775
Kathmandu Airport,366,2015,1,2,6,0.87
Kathmandu Airport,366,2015,1,2,7,1.36
Kathmandu Airport,366,2015,1,2,8,1.25
Kathmandu Airport,366,2015,1,2,9,0.535
Kathmandu Airport,366,2015,1,2,10,0.625
Kathmandu Airport,366,2015,1,2,11,0.9475
Kathmandu Airport,366,2015,1,2,12,1.1275
Kathmandu Airport,366,2015,1,2,13,0.4575
Kathmandu Airport,366,2015,1,2,14,0.3825
Kathmandu Airport,366,2015,1,2,15,0.3575
Kathmandu Airport,366,2015,1,2,16,0.415
Kathmandu Airport,366,2015,1,2,17,0.5425
Kathmandu Airport,366,2015,1,2,18,0.615
Kathmandu Airport,366,2015,1,2,19,0.2525
Kathmandu Airport,366,2015,1,2,20,0.4875
Kathmandu Airport,366,2015,1,2,21,0.6225
Kathmandu Airport,366,2015,1,2,22,0.535
Kathmandu Airport,366,2015,1,2,23,0.415
Kathmandu Airport,366,2015,1,3,0,0.3725
Kathmandu Airport,366,2015,1,3,1,0.3675
Kathmandu Airport,366,2015,1,3,2,0.455
Kathmandu Airport,366,2015,1,3,3,0.6025
Kathmandu Airport,366,2015,1,3,4,1.01
Kathmandu Airport,366,2015,1,3,5,0.7725
Kathmandu Airport,366,2015,1,3,6,0.7075
Kathmandu Airport,366,2015,1,3,7,0.9725
Kathmandu Airport,366,2015,1,3,8,0.53
Kathmandu Airport,366,2015,1,3,9,0.55
Kathmandu Airport,366,2015,1,3,10,0.875
Kathmandu Airport,366,2015,1,3,11,1.395
Kathmandu Airport,366,2015,1,3,12,0.58
Kathmandu Airport,366,2015,1,3,13,0.75
Kathmandu Airport,366,2015,1,3,14,0.725
Kathmandu Airport,366,2015,1,3,15,0.89
Kathmandu Airport,366,2015,1,3,16,0.6675
Kathmandu Airport,366,2015,1,3,17,0.78
Kathmandu Airport,366,2015,1,3,18,0.5375
Kathmandu Airport,366,2015,1,3,19,0.4225
Kathmandu Airport,366,2015,1,3,20,0.73
Kathmandu Airport,366,2015,1,3,21,0.525
Kathmandu Airport,366,2015,1,3,22,0.4475
Kathmandu Airport,366,2015,1,3,23,0.685
Kathmandu Airport,366,2015,1,4,0,0.47
Kathmandu Airport,366,2015,1,4,1,0.4725
Kathmandu Airport,366,2015,1,4,2,0.5175
Kathmandu Airport,366,2015,1,4,3,0.72
Kathmandu Airport,366,2015,1,4,4,0.485
Kathmandu Airport,366,2015,1,4,5,0.4725
Kathmandu Airport,366,2015,1,4,6,0.9875
Kathmandu Airport,366,2015,1,4,7,1.08
Kathmandu Airport,366,2015,1,4,8,1.9425
Kathmandu Airport,366,2015,1,4,9,1.3025
Kathmandu Airport,366,2015,1,4,10,0.9125
Kathmandu Airport,366,2015,1,4,11,0.4325
Kathmandu Airport,366,2015,1,4,12,0.545
Kathmandu Airport,366,2015,1,4,13,0.48
Kathmandu Airport,366,2015,1,4,14,0.3825
Kathmandu Airport,366,2015,1,4,15,0.41
Kathmandu Airport,366,2015,1,4,16,0.605
Kathmandu Airport,366,2015,1,4,17,0.72
Kathmandu Airport,366,2015,1,4,18,0.705
